Partida,Cód. Artículo,Descripción,Descripción depósito,Saldo stock sistema,Saldo stock fisico
1603-00054,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",STOCK,0.0,0.0
16030010,IHS4313IM,"Impl HS  Ø4,3 x 13",STOCK,0.0,0.0
16030014,IA3510/2M,"Impl ANATOMIC Ø3,5 x 10 CI",STOCK,0.0,0.0
16030015,IA5008/2M,"Impl ANATOMIC Ø 5,0 x 8 CI",STOCK,0.0,0.0
16030016,IH4315PS35IM,"Impl HS PS3,5 -  Ø4,3 x 15",STOCK,0.0,0.0
16030017,IHS4310IM,"Impl HS  Ø4,3 x 10",STOCK,0.0,0.0
16030018,IHS4310IM,"Impl HS  Ø4,3 x 10",STOCK,0.0,0.0
16030020,IA3516/2M,"Impl ANATOMIC Ø3,5 x 16 CI",STOCK,0.0,0.0
16030021,IS3711/1M,"Impl RAPID Ø3,75 x 11,5",STOCK,0.0,0.0
16030021,IS3711/1M,"Impl RAPID Ø3,75 x 11,5",VENCIDO,0.0,0.0
16030022,IS3711/1M,"Impl RAPID Ø3,75 x 11,5",STOCK,0.0,0.0
16030023,IS3713/1M,"Impl RAPID Ø3,75 x 13",STOCK,0.0,0.0
16030030,IA5010/1M,"Impl ANATOMIC Ø 5,1 x 10 CE",STOCK,0.0,0.0
16030031,IHS3515IM,"Impl HS  Ø3,5 x 15",STOCK,0.0,0.0
16030032,IA3510/2M,"Impl ANATOMIC Ø3,5 x 10 CI",STOCK,0.0,0.0
16030033,IA3510/2M,"Impl ANATOMIC Ø3,5 x 10 CI",STOCK,0.0,0.0
16030034,IA3510/2M,"Impl ANATOMIC Ø3,5 x 10 CI",STOCK,0.0,0.0
16030035,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",STOCK,0.0,0.0
16030036,IHS5013IM,Impl HS  Ø5 x 13,STOCK,0.0,0.0
16030037,IA4308/2M,"Impl ANATOMIC Ø4,3 x 8 CI",STOCK,0.0,0.0
16030047,IHS3510IM,"Impl HS  Ø3,5 x 10",STOCK,0.0,0.0
16030049,IA3508/2M,"Impl ANATOMIC Ø3,5 x 8 CI",STOCK,0.0,0.0
16030053,IE3308/3M,"Impl SIMPLE Ø3,3 x 8,5",STOCK,0.0,0.0
16030054,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",STOCK,0.0,0.0
16030055,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",STOCK,0.0,0.0
1604-00001,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",STOCK,0.0,0.0
1604-00001,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",VENCIDO,0.0,0.0
1604-00003,IA5011/2M,"Impl ANATOMIC Ø 5,0 x 11,5 CI",STOCK,0.0,0.0
1604-00003,IA5011/2M,"Impl ANATOMIC Ø 5,0 x 11,5 CI",VENCIDO,0.0,0.0
1604-00006,IHS3511IM,"Impl HS  Ø3,5 x 11,5",STOCK,0.0,0.0
1604-00008,IS4013/1M,Impl RAPID Ø4 x 13,STOCK,0.0,0.0
1604-00008,IS4013/1M,Impl RAPID Ø4 x 13,VENCIDO,0.0,0.0
1604-00009,IS5011/1M,"Impl RAPID Ø 5,1 x 11,5",STOCK,0.0,0.0
1604-00009,IS5011/1M,"Impl RAPID Ø 5,1 x 11,5",VENCIDO,2.0,0.0
16040001,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",STOCK,0.0,0.0
1604-00010,IS3308/1M,"Impl RAPID Ø3,3 x 8,5",STOCK,0.0,0.0
1604-00011,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",STOCK,0.0,0.0
1604-00011,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",VENCIDO,0.0,0.0
1604-00012,IS4013/1M,Impl RAPID Ø4 x 13,STOCK,0.0,0.0
1604-00013,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",STOCK,0.0,0.0
1604-00014,IA4311/2M,"Impl ANATOMIC Ø4,3 x 11,5 CI",STOCK,0.0,0.0
1604-00014,IA4311/2M,"Impl ANATOMIC Ø4,3 x 11,5 CI",VENCIDO,0.0,0.0
16040002,IA4316/2M,"Impl ANATOMIC Ø4,3 x 16 CI",STOCK,0.0,0.0
1604-00027,IS3708/1M,"Impl RAPID Ø3,75 x 8,5",STOCK,0.0,0.0
1604-00029,IS3708/1M,"Impl RAPID Ø3,75 x 8,5",STOCK,0.0,0.0
16040003,IA5011/2M,"Impl ANATOMIC Ø 5,0 x 11,5 CI",STOCK,0.0,0.0
16040004,IA3511/2M,"Impl ANATOMIC Ø3,5 x 11,5 CI",STOCK,0.0,0.0
1604-00041,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",VENCIDO,0.0,0.0
1604-00048,IA3513/2M,"Impl ANATOMIC Ø3,5 x 13 CI",VENCIDO,0.0,0.0
16040005,IA3511/2M,"Impl ANATOMIC Ø3,5 x 11,5 CI",STOCK,0.0,0.0
1604-00050,IHS3508IM,"Impl HS  Ø3,5 x 8,5",STOCK,0.0,0.0
1604-00050,IHS3508IM,"Impl HS  Ø3,5 x 8,5",VENCIDO,0.0,0.0
1604-00056,IA4313/1M,"Impl ANATOMIC Ø4,3 x 13 CE",STOCK,0.0,0.0
1604-00057,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",STOCK,1.0,0.0
1604-00058,IA5016/2M,"Impl ANATOMIC Ø 5,0 x 16 CI",STOCK,0.0,0.0
1604-00058,IA5016/2M,"Impl ANATOMIC Ø 5,0 x 16 CI",VENCIDO,0.0,0.0
16040006,IHS3511IM,"Impl HS  Ø3,5 x 11,5",STOCK,0.0,0.0
1604-00062,IE5011/3M,"Impl SIMPLE Ø 5,0 x 11,5",STOCK,0.0,0.0
1604-00062,IE5011/3M,"Impl SIMPLE Ø 5,0 x 11,5",VENCIDO,0.0,0.0
1604-00067,IS4011/1M,"Impl RAPID Ø4 x 11,5",STOCK,0.0,0.0
1604-00068,IS4011/1M,"Impl RAPID Ø4 x 11,5",STOCK,0.0,0.0
16040008,IS4013/1M,Impl RAPID Ø4 x 13,STOCK,0.0,0.0
16040009,IS5011/1M,"Impl RAPID Ø 5,1 x 11,5",STOCK,0.0,0.0
16040010,IS3308/1M,"Impl RAPID Ø3,3 x 8,5",STOCK,0.0,0.0
16040012,IS4013/1M,Impl RAPID Ø4 x 13,STOCK,0.0,0.0
16040013,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",STOCK,0.0,0.0
16040014,IA4311/2M,"Impl ANATOMIC Ø4,3 x 11,5 CI",STOCK,0.0,0.0
16040014,IA4311/2M,"Impl ANATOMIC Ø4,3 x 11,5 CI",VENCIDO,3.0,0.0
16040027,IS3708/1M,"Impl RAPID Ø3,75 x 8,5",STOCK,0.0,0.0
16040028,IS3708/1M,"Impl RAPID Ø3,75 x 8,5",STOCK,0.0,0.0
16040028,IS3708/1M,"Impl RAPID Ø3,75 x 8,5",VENCIDO,0.0,0.0
16040031,IS3708/1M,"Impl RAPID Ø3,75 x 8,5",STOCK,0.0,0.0
16040041,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",STOCK,0.0,0.0
16040047,IHS4313IM,"Impl HS  Ø4,3 x 13",STOCK,0.0,0.0
16040048,IA3513/2M,"Impl ANATOMIC Ø3,5 x 13 CI",STOCK,0.0,0.0
16040049,IHS3511IM,"Impl HS  Ø3,5 x 11,5",STOCK,0.0,0.0
16040050,IHS3508IM,"Impl HS  Ø3,5 x 8,5",STOCK,0.0,0.0
16040051,IA3511/2M,"Impl ANATOMIC Ø3,5 x 11,5 CI",STOCK,0.0,0.0
16040052,IHS3513IM,"Impl HS  Ø3,5 x 13",STOCK,0.0,0.0
16040053,IS3710/1M,"Impl RAPID Ø3,75 x 10",STOCK,0.0,0.0
16040054,IS3711/1M,"Impl RAPID Ø3,75 x 11,5",STOCK,0.0,0.0
16040055,IS3310/1M,"Impl RAPID Ø3,3 x 10",STOCK,0.0,0.0
16040057,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",STOCK,0.0,0.0
16040058,IA5016/2M,"Impl ANATOMIC Ø 5,0 x 16 CI",STOCK,0.0,0.0
16040061,IS3711/1M,"Impl RAPID Ø3,75 x 11,5",STOCK,0.0,0.0
16040062,IE5011/3M,"Impl SIMPLE Ø 5,0 x 11,5",STOCK,0.0,0.0
16040066,IS4011/1M,"Impl RAPID Ø4 x 11,5",STOCK,0.0,0.0
16040067,IS4011/1M,"Impl RAPID Ø4 x 11,5",STOCK,0.0,0.0
16040068,IS4011/1M,"Impl RAPID Ø4 x 11,5",STOCK,0.0,0.0
16040069,IS4010/1M,Impl RAPID Ø4 x 10,STOCK,0.0,0.0
16040077,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",STOCK,0.0,0.0
1605-00001,IS4010/1M,Impl RAPID Ø4 x 10,STOCK,0.0,0.0
1605-00002,IS4010/1M,Impl RAPID Ø4 x 10,STOCK,0.0,0.0
1605-00004,IS3313/1M,"Impl RAPID Ø3,3 x 13",STOCK,0.0,0.0
1605-00006,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",STOCK,0.0,0.0
1605-00007,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",STOCK,0.0,0.0
1605-00008,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",STOCK,0.0,0.0
1605-00009,IHS4310IM,"Impl HS  Ø4,3 x 10",STOCK,0.0,0.0
1605-00009,IHS4310IM,"Impl HS  Ø4,3 x 10",VENCIDO,0.0,0.0
16050001,IS4010/1M,Impl RAPID Ø4 x 10,STOCK,0.0,0.0
16050001,IS4010/1M,Impl RAPID Ø4 x 10,VENCIDO,0.0,0.0
1605-00010,IHS5010IM,Impl HS  Ø5 x 10,STOCK,0.0,0.0
1605-00010,IHS5010IM,Impl HS  Ø5 x 10,VENCIDO,0.0,0.0
1605-00011,IHS4308IM,"Impl HS  Ø4,3 x 8,5",STOCK,0.0,0.0
1605-00011,IHS4308IM,"Impl HS  Ø4,3 x 8,5",VENCIDO,0.0,0.0
16050002,IS4010/1M,Impl RAPID Ø4 x 10,STOCK,0.0,0.0
1605-00020,IA3508/2M,"Impl ANATOMIC Ø3,5 x 8 CI",VENCIDO,1.0,0.0
16050003,IS3313/1M,"Impl RAPID Ø3,3 x 13",STOCK,0.0,0.0
1605-00034,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",VENCIDO,0.0,0.0
1605-00035,IHS5008IM,"Impl HS  Ø5 x 8,5",STOCK,0.0,0.0
1605-00036,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",STOCK,0.0,0.0
1605-00036,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",VENCIDO,0.0,0.0
16050004,IS3313/1M,"Impl RAPID Ø3,3 x 13",STOCK,0.0,0.0
1605-00043,IHS5008IM,"Impl HS  Ø5 x 8,5",VENCIDO,0.0,0.0
1605-00047,IHS4311IM,"Impl HS  Ø4,3 x 11,5",STOCK,0.0,0.0
16050005,IA4313/1M,"Impl ANATOMIC Ø4,3 x 13 CE",STOCK,0.0,0.0
1605-00051,IS4011/1M,"Impl RAPID Ø4 x 11,5",STOCK,0.0,0.0
16050006,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",STOCK,0.0,0.0
1605-00065,IHS3513IM,"Impl HS  Ø3,5 x 13",STOCK,0.0,0.0
16050007,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",STOCK,0.0,0.0
1605-00070,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",STOCK,0.0,0.0
1605-00071,IE3713/3M,"Impl SIMPLE Ø3,75 x 13",STOCK,0.0,0.0
1605-00073,IA4316/1M,"Impl ANATOMIC Ø4,3 x 16 CE",STOCK,0.0,0.0
1605-00074,IS4010/1M,Impl RAPID Ø4 x 10,STOCK,0.0,0.0
16050008,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",STOCK,0.0,0.0
16050009,IHS4310IM,"Impl HS  Ø4,3 x 10",STOCK,0.0,0.0
16050010,IHS5010IM,Impl HS  Ø5 x 10,STOCK,0.0,0.0
16050011,IHS4308IM,"Impl HS  Ø4,3 x 8,5",STOCK,0.0,0.0
16050014,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",STOCK,0.0,0.0
16050017,IA4308/2M,"Impl ANATOMIC Ø4,3 x 8 CI",STOCK,0.0,0.0
16050018,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",STOCK,0.0,0.0
16050019,IHS3513IM,"Impl HS  Ø3,5 x 13",STOCK,0.0,0.0
16050020,IA3508/2M,"Impl ANATOMIC Ø3,5 x 8 CI",STOCK,0.0,0.0
16050033,IS3311/1M,"Impl RAPID Ø3,3 x 11,5",STOCK,0.0,0.0
16050033,IS3711/1M,"Impl RAPID Ø3,75 x 11,5",STOCK,0.0,0.0
16050034,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",STOCK,0.0,0.0
16050035,IHS5008IM,"Impl HS  Ø5 x 8,5",STOCK,0.0,0.0
16050036,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",STOCK,0.0,0.0
16050038,IA3511/2M,"Impl ANATOMIC Ø3,5 x 11,5 CI",STOCK,0.0,0.0
16050038,IA4311/2M,"Impl ANATOMIC Ø4,3 x 11,5 CI",STOCK,0.0,0.0
16050039,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",STOCK,0.0,0.0
16050040,IS3710/1M,"Impl RAPID Ø3,75 x 10",STOCK,0.0,0.0
16050041,IA3510/2M,"Impl ANATOMIC Ø3,5 x 10 CI",STOCK,0.0,0.0
16050043,IHS5008IM,"Impl HS  Ø5 x 8,5",STOCK,0.0,0.0
16050048,IS3710/1M,"Impl RAPID Ø3,75 x 10",STOCK,0.0,0.0
16050049,IS3710/1M,"Impl RAPID Ø3,75 x 10",STOCK,0.0,0.0
16050050,IHS3510IM,"Impl HS  Ø3,5 x 10",STOCK,0.0,0.0
16050051,IS4011/1M,"Impl RAPID Ø4 x 11,5",STOCK,0.0,0.0
16050061,IHS3511IM,"Impl HS  Ø3,5 x 11,5",STOCK,0.0,0.0
16050065,IHS3513IM,"Impl HS  Ø3,5 x 13",STOCK,0.0,0.0
16050066,IE3713/3M,"Impl SIMPLE Ø3,75 x 13",STOCK,0.0,0.0
16050067,IE3313/3M,"Impl SIMPLE Ø3,3 x 13",STOCK,0.0,0.0
16050068,IE3310/3M,"Impl SIMPLE Ø3,3 x 10",STOCK,0.0,0.0
16050070,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",STOCK,0.0,0.0
16050071,IE3713/3M,"Impl SIMPLE Ø3,75 x 13",STOCK,0.0,0.0
16050072,IA3513/2M,"Impl ANATOMIC Ø3,5 x 13 CI",STOCK,0.0,0.0
16050073,IA4316/1M,"Impl ANATOMIC Ø4,3 x 16 CE",STOCK,0.0,0.0
16050074,IS4010/1M,Impl RAPID Ø4 x 10,STOCK,0.0,0.0
160600003,IA5008/2M,"Impl ANATOMIC Ø 5,0 x 8 CI",STOCK,0.0,0.0
1606-00003,IA5008/2M,"Impl ANATOMIC Ø 5,0 x 8 CI",STOCK,0.0,0.0
1606-00003,IA5008/2M,"Impl ANATOMIC Ø 5,0 x 8 CI",VENCIDO,0.0,0.0
1606-00004,IA5013/2M,"Impl ANATOMIC Ø 5,0 x 13 CI",STOCK,0.0,0.0
1606-00004,IA5013/2M,"Impl ANATOMIC Ø 5,0 x 13 CI",VENCIDO,0.0,0.0
1606-000088,IS3311/1M,"Impl RAPID Ø3,3 x 11,5",STOCK,0.0,0.0
1606-00009,IE3313/3M,"Impl SIMPLE Ø3,3 x 13",STOCK,0.0,0.0
16060001,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",STOCK,0.0,0.0
1606-00010,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",VENCIDO,0.0,0.0
1606-00013,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",STOCK,0.0,0.0
1606-00014,IS4010/1M,Impl RAPID Ø4 x 10,STOCK,0.0,0.0
1606-00015,IS4010/1M,Impl RAPID Ø4 x 10,STOCK,0.0,0.0
1606-00016,IS3310/1M,"Impl RAPID Ø3,3 x 10",STOCK,0.0,0.0
1606-00017,IHS4313IM,"Impl HS  Ø4,3 x 13",STOCK,0.0,0.0
1606-00017,IHS4313IM,"Impl HS  Ø4,3 x 13",VENCIDO,0.0,0.0
1606-00018,IHS4313IM,"Impl HS  Ø4,3 x 13",STOCK,0.0,0.0
16060002,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",STOCK,0.0,0.0
16060003,IA5008/2M,"Impl ANATOMIC Ø 5,0 x 8 CI",STOCK,0.0,0.0
16060004,IA5013/2M,"Impl ANATOMIC Ø 5,0 x 13 CI",STOCK,0.0,0.0
1606-00049,IA3508/2M,"Impl ANATOMIC Ø3,5 x 8 CI",STOCK,0.0,0.0
1606-00050,IA3511/2M,"Impl ANATOMIC Ø3,5 x 11,5 CI",STOCK,0.0,0.0
1606-00051,IS3707/1M,"Impl RAPID Ø3,75 x 7",STOCK,0.0,0.0
1606-00051,IS3707/1M,"Impl RAPID Ø3,75 x 7",VENCIDO,0.0,0.0
1606-00053,IA5010/1M,"Impl ANATOMIC Ø 5,1 x 10 CE",STOCK,0.0,0.0
1606-00053,IA5010/1M,"Impl ANATOMIC Ø 5,1 x 10 CE",VENCIDO,3.0,0.0
1606-00054,IA3513/2M,"Impl ANATOMIC Ø3,5 x 13 CI",STOCK,0.0,0.0
1606-00054,IA3513/2M,"Impl ANATOMIC Ø3,5 x 13 CI",VENCIDO,0.0,0.0
160600055,IA3513/2M,"Impl ANATOMIC Ø3,5 x 13 CI",STOCK,0.0,0.0
1606-00057,IA3510/2M,"Impl ANATOMIC Ø3,5 x 10 CI",STOCK,0.0,0.0
1606-00060,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",STOCK,0.0,0.0
1606-00061,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",STOCK,0.0,0.0
1606-00064,IA4311/2M,"Impl ANATOMIC Ø4,3 x 11,5 CI",STOCK,0.0,0.0
1606-00067,IS3713/1M,"Impl RAPID Ø3,75 x 13",STOCK,0.0,0.0
1606-00067,IS3713/1M,"Impl RAPID Ø3,75 x 13",VENCIDO,0.0,0.0
1606-00068,IS3713/1M,"Impl RAPID Ø3,75 x 13",VENCIDO,0.0,0.0
1606-00069,IS3710/1M,"Impl RAPID Ø3,75 x 10",STOCK,0.0,0.0
1606-00070,IHS3510IM,"Impl HS  Ø3,5 x 10",STOCK,0.0,0.0
1606-00070,IHS3510IM,"Impl HS  Ø3,5 x 10",VENCIDO,0.0,0.0
1606-00077,IA4313PS35IM,"Imp AN PS3,5 - Ø4,3 x 13 CI",STOCK,0.0,0.0
1606-00079,IA4308/2M,"Impl ANATOMIC Ø4,3 x 8 CI",STOCK,0.0,0.0
1606-00079,IA4308/2M,"Impl ANATOMIC Ø4,3 x 8 CI",VENCIDO,0.0,0.0
1606-00080,IS3710/1M,"Impl RAPID Ø3,75 x 10",VENCIDO,4.0,0.0
1606-00080,IS3711/1M,"Impl RAPID Ø3,75 x 11,5",STOCK,0.0,0.0
1606-00080,IS3711/1M,"Impl RAPID Ø3,75 x 11,5",VENCIDO,0.0,0.0
1606-00081,IS3710/1M,"Impl RAPID Ø3,75 x 10",STOCK,0.0,0.0
1606-00082,IHS3510IM,"Impl HS  Ø3,5 x 10",STOCK,0.0,0.0
1606-00084,IA5008/1M,"Impl ANATOMIC Ø 5,1 x 8 CE",STOCK,0.0,0.0
1606-00084,IA5008/1M,"Impl ANATOMIC Ø 5,1 x 8 CE",VENCIDO,1.0,0.0
1606-00086,IS3313/1M,"Impl RAPID Ø3,3 x 13",STOCK,0.0,0.0
1606-00086,IS3313/1M,"Impl RAPID Ø3,3 x 13",VENCIDO,0.0,0.0
1606-00089,IE4210/3M,"Impl SIMPLE Ø4,2 x 10",STOCK,0.0,0.0
16060009,IE3313/3M,"Impl SIMPLE Ø3,3 x 13",STOCK,0.0,0.0
1606-00090,IE4211/3M,"Impl SIMPLE Ø4,2 x 11,5",STOCK,0.0,0.0
1606-00090,IE4211/3M,"Impl SIMPLE Ø4,2 x 11,5",VENCIDO,0.0,0.0
16060010,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",STOCK,0.0,0.0
16060011,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",STOCK,0.0,0.0
16060013,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",STOCK,0.0,0.0
16060014,IS4010/1M,Impl RAPID Ø4 x 10,STOCK,0.0,0.0
16060016,IS3310/1M,"Impl RAPID Ø3,3 x 10",STOCK,0.0,0.0
16060018,IHS4313IM,"Impl HS  Ø4,3 x 13",STOCK,0.0,0.0
16060023,IE3311/3M,"Impl SIMPLE Ø3,3 x 11,5",STOCK,0.0,0.0
16060049,IA3508/2M,"Impl ANATOMIC Ø3,5 x 8 CI",STOCK,0.0,0.0
16060050,IA3511/2M,"Impl ANATOMIC Ø3,5 x 11,5 CI",STOCK,0.0,0.0
16060051,IS3707/1M,"Impl RAPID Ø3,75 x 7",STOCK,0.0,0.0
16060052,IS4011/1M,"Impl RAPID Ø4 x 11,5",STOCK,0.0,0.0
16060053,IA5010/1M,"Impl ANATOMIC Ø 5,1 x 10 CE",STOCK,0.0,0.0
16060054,IA3513/2M,"Impl ANATOMIC Ø3,5 x 13 CI",STOCK,0.0,0.0
16060057,IA3510/2M,"Impl ANATOMIC Ø3,5 x 10 CI",STOCK,0.0,0.0
16060058,IA3510/2M,"Impl ANATOMIC Ø3,5 x 10 CI",STOCK,0.0,0.0
16060060,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",STOCK,0.0,0.0
16060061,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",STOCK,0.0,0.0
16060063,IHS4311IM,"Impl HS  Ø4,3 x 11,5",STOCK,0.0,0.0
16060064,IA4311/2M,"Impl ANATOMIC Ø4,3 x 11,5 CI",STOCK,0.0,0.0
16060065,IA4311/2M,"Impl ANATOMIC Ø4,3 x 11,5 CI",STOCK,0.0,0.0
16060067,IS3713/1M,"Impl RAPID Ø3,75 x 13",STOCK,0.0,0.0
16060068,IS3713/1M,"Impl RAPID Ø3,75 x 13",STOCK,0.0,0.0
16060069,IS3710/1M,"Impl RAPID Ø3,75 x 10",STOCK,0.0,0.0
16060070,IHS3510IM,"Impl HS  Ø3,5 x 10",STOCK,0.0,0.0
16060077,IA4313PS35IM,"Imp AN PS3,5 - Ø4,3 x 13 CI",STOCK,0.0,0.0
16060078,IHS3513IM,"Impl HS  Ø3,5 x 13",STOCK,0.0,0.0
16060079,IA4308/2M,"Impl ANATOMIC Ø4,3 x 8 CI",STOCK,0.0,0.0
16060080,IS3711/1M,"Impl RAPID Ø3,75 x 11,5",STOCK,0.0,0.0
16060081,IS3710/1M,"Impl RAPID Ø3,75 x 10",STOCK,0.0,0.0
16060082,IHS3510IM,"Impl HS  Ø3,5 x 10",STOCK,0.0,0.0
16060083,IHS3513IM,"Impl HS  Ø3,5 x 13",STOCK,0.0,0.0
16060084,IA5008/1M,"Impl ANATOMIC Ø 5,1 x 8 CE",STOCK,0.0,0.0
16060086,IS3313/1M,"Impl RAPID Ø3,3 x 13",STOCK,0.0,0.0
16060087,IS3310/1M,"Impl RAPID Ø3,3 x 10",STOCK,0.0,0.0
16060088,IS3311/1M,"Impl RAPID Ø3,3 x 11,5",STOCK,0.0,0.0
16060089,IE4210/3M,"Impl SIMPLE Ø4,2 x 10",STOCK,0.0,0.0
16060090,IE4211/3M,"Impl SIMPLE Ø4,2 x 11,5",STOCK,0.0,0.0
1607-00001,IS3310/1M,"Impl RAPID Ø3,3 x 10",STOCK,0.0,0.0
1607-00004,IE4215/3M,"Impl SIMPLE Ø4,2 x 15",STOCK,0.0,0.0
1607-00004,IE4215/3M,"Impl SIMPLE Ø4,2 x 15",VENCIDO,0.0,0.0
1607-00005,IE4208/3M,"Impl SIMPLE Ø4,2 x 8,5",STOCK,0.0,0.0
1607-00006,IE4213/3M,"Impl SIMPLE Ø4,2 x 13",STOCK,0.0,0.0
16070001,IS3310/1M,"Impl RAPID Ø3,3 x 10",STOCK,0.0,0.0
1607-00023,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",STOCK,0.0,0.0
1607-00024,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",STOCK,0.0,0.0
1607-00024,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",VENCIDO,0.0,0.0
1607-00025,IA4308/2M,"Impl ANATOMIC Ø4,3 x 8 CI",STOCK,0.0,0.0
1607-00027,IHS4310IM,"Impl HS  Ø4,3 x 10",STOCK,0.0,0.0
1607-00028,IA4313/1M,"Impl ANATOMIC Ø4,3 x 13 CE",STOCK,0.0,0.0
1607-00028,IA4313/1M,"Impl ANATOMIC Ø4,3 x 13 CE",VENCIDO,0.0,0.0
1607-00029,IE4210/3M,"Impl SIMPLE Ø4,2 x 10",STOCK,0.0,0.0
1607-00030,IS4010/1M,Impl RAPID Ø4 x 10,STOCK,0.0,0.0
1607-00034,IHS4308IM,"Impl HS  Ø4,3 x 8,5",STOCK,0.0,0.0
1607-00034,IHS4308IM,"Impl HS  Ø4,3 x 8,5",VENCIDO,0.0,0.0
1607-00035,IHS4311IM,"Impl HS  Ø4,3 x 11,5",VENCIDO,0.0,0.0
1607-00036,IE5010/3M,"Impl SIMPLE Ø 5,0 x 10",STOCK,0.0,0.0
1607-00036,IE5010/3M,"Impl SIMPLE Ø 5,0 x 10",VENCIDO,1.0,0.0
1607-00037,IE4213/3M,"Impl SIMPLE Ø4,2 x 13",STOCK,0.0,0.0
1607-00037,IE4213/3M,"Impl SIMPLE Ø4,2 x 13",VENCIDO,0.0,0.0
1607-00038,IE4215/3M,"Impl SIMPLE Ø4,2 x 15",STOCK,0.0,0.0
1607-00039,IHS4313IM,"Impl HS  Ø4,3 x 13",STOCK,0.0,0.0
1607-00039,IHS4313IM,"Impl HS  Ø4,3 x 13",VENCIDO,0.0,0.0
16070004,IE4215/3M,"Impl SIMPLE Ø4,2 x 15",STOCK,0.0,0.0
1607-00047,IA3513/2M,"Impl ANATOMIC Ø3,5 x 13 CI",STOCK,0.0,0.0
16070005,IE4208/3M,"Impl SIMPLE Ø4,2 x 8,5",STOCK,0.0,0.0
16070006,IE4213/3M,"Impl SIMPLE Ø4,2 x 13",STOCK,0.0,0.0
16070007,IHS3511IM,"Impl HS  Ø3,5 x 11,5",STOCK,0.0,0.0
16070023,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",STOCK,0.0,0.0
16070024,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",STOCK,0.0,0.0
16070026,IA4316/2M,"Impl ANATOMIC Ø4,3 x 16 CI",STOCK,0.0,0.0
16070027,IHS4310IM,"Impl HS  Ø4,3 x 10",STOCK,0.0,0.0
16070028,IA4313/1M,"Impl ANATOMIC Ø4,3 x 13 CE",STOCK,0.0,0.0
16070029,IE4210/3M,"Impl SIMPLE Ø4,2 x 10",STOCK,0.0,0.0
16070030,IS4010/1M,Impl RAPID Ø4 x 10,STOCK,0.0,0.0
16070034,IHS4308IM,"Impl HS  Ø4,3 x 8,5",STOCK,0.0,0.0
16070035,IHS4311IM,"Impl HS  Ø4,3 x 11,5",STOCK,0.0,0.0
16070036,IE5010/3M,"Impl SIMPLE Ø 5,0 x 10",STOCK,0.0,0.0
