Partida,Cód. Artículo,Descripción,Descripción depósito,Saldo stock sistema,Saldo stock fisico
11102762,IA5013/2M,"Impl ANATOMIC Ø 5,0 x 13 CI",STOCK,0.0,0.0
11102762,IA5013/2M,"Impl ANATOMIC Ø 5,0 x 13 CI",VENCIDO,0.0,0.0
1110276-2,IA5013/2M,"Impl ANATOMIC Ø 5,0 x 13 CI",VENCIDO,0.0,0.0
11102763,IA5016/2M,"Impl ANATOMIC Ø 5,0 x 16 CI",STOCK,0.0,0.0
11102763,IA5016/2M,"Impl ANATOMIC Ø 5,0 x 16 CI",VENCIDO,0.0,0.0
1110276-3,IA5016/2M,"Impl ANATOMIC Ø 5,0 x 16 CI",VENCIDO,0.0,0.0
1110277-4,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",VENCIDO,0.0,0.0
1111292-3,IHS4315IM,"Impl HS  Ø4,3 x 15",VENCIDO,0.0,0.0
1111297-3,IHS4313IM,"Impl HS  Ø4,3 x 13",VENCIDO,0.0,0.0
1111299-2,IHS4308IM,"Impl HS  Ø4,3 x 8,5",VENCIDO,0.0,0.0
1111301-3,IHS4311IM,"Impl HS  Ø4,3 x 11,5",VENCIDO,0.0,0.0
11113101,IA5016/2M,"Impl ANATOMIC Ø 5,0 x 16 CI",STOCK,0.0,0.0
11113101,IA5016/2M,"Impl ANATOMIC Ø 5,0 x 16 CI",VENCIDO,0.0,0.0
11113103,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",STOCK,0.0,0.0
11113103,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",VENCIDO,0.0,0.0
1112324-1,IA5008/2M,"Impl ANATOMIC Ø 5,0 x 8 CI",VENCIDO,0.0,0.0
1201017-2,IHS4310IM,"Impl HS  Ø4,3 x 10",VENCIDO,0.0,0.0
1201018-1,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",VENCIDO,0.0,0.0
12010182,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",STOCK,0.0,0.0
12010182,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",VENCIDO,0.0,0.0
1201018-2,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",VENCIDO,0.0,0.0
1201018-3,IHS4313IM,"Impl HS  Ø4,3 x 13",VENCIDO,0.0,0.0
1201019-4,IA4316/1M,"Impl ANATOMIC Ø4,3 x 16 CE",VENCIDO,0.0,0.0
1202040-2,IA4316/1M,"Impl ANATOMIC Ø4,3 x 16 CE",VENCIDO,0.0,0.0
12020432,IA4313/1M,"Impl ANATOMIC Ø4,3 x 13 CE",STOCK,0.0,0.0
1202043-3,IA4308/1M,"Impl ANATOMIC Ø4,3 x 8 CE",VENCIDO,0.0,0.0
